Country code,Population in 1000s
ABW,106.217
AFG,37212.97
AGO,31808.179
AIA,15.264
ALB,2875.637
AND,75.666
ARE,9175.764
ARG,44582.599
ARM,2828.707
ASM,47.887
ATG,91.856
AUS,25170.161
AUT,8858.773
AZE,10191.978
BDI,11695.779
BEL,11479.863
BEN,12114.069
BES,25.278
BFA,20671.385
BGD,164605.451
BGR,7084.829
BHR,1494.344
BHS,403.335
BIH,3380.449
BLM,10.368
BLR,9686.898
BLZ,385.764
BMU,63.696
BOL,11692.283
BRA,211000.821
BRB,279.932
BRN,436.204
BTN,764.914
BWA,2475.862
CAF,5146.623
CAN,37286.937
CHE,8544.746
CHL,18872.283
CHN,1419730.043
CIV,25817.528
CMR,25427.553
COD,88481.831
COG,5506.177
COK,17.179
COL,49757.785
COM,783.646
CPV,574.128
CRI,5063.704
CUB,11324.157
CUW,197.609
CYM,65.526
CYP,1223.895
CZE,10535.831
DEU,83028.627
DJI,1065.644
DMA,71.092
DNK,5780.978
DOM,10824.418
DZA,42319.75
ECU,17200.318
EGY,104698.623
ERI,3473.983
ESH,538.507
ESP,46932.79
EST,1324.991
ETH,112602.827
FIN,5517.858
FJI,918.838
FLK,3.684
FRA,64341.757
FRO,51.314
FSM,111.168
GAB,2217.576
GBR,66606.144
GEO,3772.438
GGY,62.094
GHA,31195.334
GIB,32.668
GIN,12713.491
GLP,395.871
GMB,2476.718
GNB,1947.61
GNQ,1527.688
GRC,10604.702
GRD,122.288
GRL,55.927
GTM,16981.503
GUF,280.335
GUM,168.672
GUY,805.664
HKG,7490.336
HND,9875.868
HRV,4144.864
HTI,11086.368
HUN,9773.471
IDN,268339.908
IMN,83.868
IND,1376257.714
IRL,4866.964
IRN,86138.242
IRQ,41084.09
ISL,357.209
ISR,8530.245
ITA,59815.966
JAM,2813.073
JEY,106.417
JOR,10580.29
JPN,126040.583
KAZ,18647.459
KEN,50442.689
KGZ,6274.956
KHM,16119.212
KIR,123.226
KNA,47.742
KOR,51749.531
KWT,4413.838
LAO,7158.453
LBN,5869.291
LBR,4936.387
LBY,6526.148
LCA,178.245
LIE,38.335
LKA,21616.166
LSO,2211.799
LTU,2862.266
LUX,613.867
LVA,1925.867
MAC,657.286
MAF,33.393
MAR,36119.972
MCO,37.035
MDA,3123.958
MDG,27187.137
MDV,498.126
MEX,124560.16
MHL,45.376
MKD,2114.328
MLI,20248.067
MLT,497.674
MMR,52852.453
MNE,630.902
MNG,3198.396
MNP,50.086
MOZ,29850.438
MRT,4326.764
MSR,4.454
MTQ,373.538
MUS,1295.598
MWI,18613.791
MYS,32604.401
MYT,288.628
NAM,2426.212
NCL,285.129
NER,23005.096
NGA,200828.388
NIC,6618.143
NIU,1.899
NLD,17324.246
NOR,5328.602
NPL,28665.764
NRU,12.047
NZL,4891.572
OMN,4616.4
PAK,221473.699
PAN,4199.523
PER,32559.44
PHL,109473.986
PLW,17.886
PNG,9436.153
POL,38509.236
PRI,3305.555
PRK,25697.648
PRT,10281.447
PRY,6487.014
PSE,4857.564
PYF,298.693
QAT,2785.84
REU,945.321
ROU,19558.692
RUS,145722.91
RWA,12682.725
SAU,35424.752
SDN,42636.118
SEN,15786.096
SGP,5839.291
SHN,5.457
SLB,667.089
SLE,7953.448
SLV,6279.512
SMR,34.163
SOM,15689.74
SPM,5.932
SRB,7418.048
SSD,10349.891
STP,212.976
SUR,596.796
SVK,5450.296
SVN,2109.551
SWE,10214.429
SWZ,1165.004
SXM,42.633
SYC,103.739
SYR,19710.46
TCA,42.306
TCD,15874.547
TGO,8143.953
THA,71226.152
TJK,9231.189
TKL,1.688
TKM,6112.474
TLS,1271.121
TON,105.028
TTO,1526.01
TUN,11992.376
TUR,83151.687
TUV,10.914
TWN,23754.579
TZA,58973.192
UGA,42212.297
UKR,44331.496
URY,3428.546
USA,333251.103
UZB,32710.433
VAT,0.531
VCT,105.135
VEN,29314.535
VGB,30.46
VIR,101.11
VNM,95349.838
VUT,300.837
WLF,11.761
WSM,210.752
XKX,1698.58
YEM,31166.253
ZAF,57707.967
ZMB,18106.035
ZWE,15203.989
